arm,pair_id,i,j,order,picked_i
factual,0,4929,454,0,1.0
factual,0,4929,454,1,1.0
factual,1,2554,3265,0,1.0
factual,1,2554,3265,1,0.0
factual,2,2963,4244,0,1.0
factual,2,2963,4244,1,1.0
factual,3,3499,4625,0,0.0
factual,3,3499,4625,1,0.0
factual,4,3051,2991,0,1.0
factual,4,3051,2991,1,1.0
factual,5,894,4316,0,1.0
factual,5,894,4316,1,1.0
factual,6,4734,961,0,1.0
factual,6,4734,961,1,1.0
factual,7,62,2438,0,1.0
factual,7,62,2438,1,1.0
factual,8,3833,1351,0,1.0
factual,8,3833,1351,1,1.0
factual,9,4238,1539,0,0.0
factual,9,4238,1539,1,0.0
factual,10,312,657,0,1.0
factual,10,312,657,1,0.0
factual,11,786,2548,0,1.0
factual,11,786,2548,1,1.0
factual,12,4921,1970,0,0.0
factual,12,4921,1970,1,0.0
factual,13,2441,2313,0,0.0
factual,13,2441,2313,1,0.0
factual,14,2411,1014,0,1.0
factual,14,2411,1014,1,1.0
factual,15,2201,4105,0,1.0
factual,15,2201,4105,1,1.0
factual,16,2963,4093,0,0.0
factual,16,2963,4093,1,0.0
factual,17,2813,901,0,1.0
factual,17,2813,901,1,1.0
factual,18,4952,2177,0,0.0
factual,18,4952,2177,1,0.0
factual,19,2787,665,0,1.0
factual,19,2787,665,1,0.0
factual,20,447,546,0,0.0
factual,20,447,546,1,0.0
factual,21,3257,3479,0,0.0
factual,21,3257,3479,1,0.0
factual,22,1563,3293,0,1.0
factual,22,1563,3293,1,1.0
factual,23,3636,1253,0,1.0
factual,23,3636,1253,1,1.0
factual,24,1533,3021,0,1.0
factual,24,1533,3021,1,1.0
factual,25,1016,667,0,0.0
factual,25,1016,667,1,0.0
factual,26,2900,2655,0,1.0
factual,26,2900,2655,1,1.0
factual,27,4274,3353,0,0.0
factual,27,4274,3353,1,0.0
factual,28,928,1390,0,1.0
factual,28,928,1390,1,0.0
factual,29,1179,1235,0,1.0
factual,29,1179,1235,1,1.0
factual,30,587,16,0,0.0
factual,30,587,16,1,0.0
factual,31,2557,2233,0,1.0
factual,31,2557,2233,1,0.0
factual,32,2508,1807,0,1.0
factual,32,2508,1807,1,1.0
factual,33,2525,3767,0,1.0
factual,33,2525,3767,1,1.0
factual,34,1297,1350,0,1.0
factual,34,1297,1350,1,1.0
factual,35,1677,1221,0,0.0
factual,35,1677,1221,1,0.0
factual,36,2277,728,0,0.0
factual,36,2277,728,1,0.0
factual,37,377,4251,0,1.0
factual,37,377,4251,1,1.0
factual,38,3283,4769,0,0.0
factual,38,3283,4769,1,0.0
factual,39,3110,4548,0,1.0
factual,39,3110,4548,1,1.0
factual,40,1857,2002,0,0.0
factual,40,1857,2002,1,0.0
factual,41,3727,4460,0,1.0
factual,41,3727,4460,1,1.0
factual,42,1166,1558,0,1.0
factual,42,1166,1558,1,1.0
factual,43,2417,1315,0,1.0
factual,43,2417,1315,1,1.0
factual,44,503,4557,0,1.0
factual,44,503,4557,1,1.0
factual,45,4526,2301,0,1.0
factual,45,4526,2301,1,1.0
factual,46,4639,4225,0,1.0
factual,46,4639,4225,1,1.0
factual,47,3573,1027,0,0.0
factual,47,3573,1027,1,0.0
factual,48,3157,1587,0,1.0
factual,48,3157,1587,1,0.0
factual,49,2533,1569,0,1.0
factual,49,2533,1569,1,0.0
factual,50,2526,2945,0,1.0
factual,50,2526,2945,1,1.0
factual,51,1668,2143,0,1.0
factual,51,1668,2143,1,1.0
factual,52,1413,3410,0,1.0
factual,52,1413,3410,1,1.0
factual,53,105,2701,0,0.0
factual,53,105,2701,1,0.0
factual,54,854,1720,0,1.0
factual,54,854,1720,1,1.0
factual,55,1067,880,0,1.0
factual,55,1067,880,1,1.0
factual,56,4576,357,0,1.0
factual,56,4576,357,1,1.0
factual,57,1408,3853,0,1.0
factual,57,1408,3853,1,1.0
factual,58,1449,1973,0,0.0
factual,58,1449,1973,1,0.0
factual,59,781,2920,0,0.0
factual,59,781,2920,1,0.0
factual,60,4949,4466,0,1.0
factual,60,4949,4466,1,1.0
factual,61,3784,4031,0,1.0
factual,61,3784,4031,1,0.0
factual,62,3691,873,0,1.0
factual,62,3691,873,1,0.0
factual,63,4747,3768,0,0.0
factual,63,4747,3768,1,0.0
factual,64,765,2546,0,1.0
factual,64,765,2546,1,1.0
factual,65,4161,4978,0,0.0
factual,65,4161,4978,1,0.0
factual,66,1050,696,0,1.0
factual,66,1050,696,1,1.0
factual,67,2251,3333,0,1.0
factual,67,2251,3333,1,0.0
factual,68,3405,3655,0,0.0
factual,68,3405,3655,1,0.0
factual,69,148,3232,0,0.0
factual,69,148,3232,1,0.0
factual,70,368,605,0,1.0
factual,70,368,605,1,1.0
factual,71,1036,314,0,1.0
factual,71,1036,314,1,1.0
factual,72,1509,1354,0,1.0
factual,72,1509,1354,1,1.0
factual,73,923,1969,0,1.0
factual,73,923,1969,1,1.0
factual,74,4617,737,0,1.0
factual,74,4617,737,1,1.0
factual,75,695,1446,0,1.0
factual,75,695,1446,1,1.0
factual,76,3801,4236,0,1.0
factual,76,3801,4236,1,1.0
factual,77,3664,4549,0,0.0
factual,77,3664,4549,1,0.0
factual,78,3987,4043,0,1.0
factual,78,3987,4043,1,1.0
factual,79,3593,1072,0,1.0
factual,79,3593,1072,1,1.0
factual,80,4379,1805,0,1.0
factual,80,4379,1805,1,1.0
factual,81,3014,3260,0,1.0
factual,81,3014,3260,1,1.0
factual,82,2825,300,0,1.0
factual,82,2825,300,1,1.0
factual,83,3607,3654,0,1.0
factual,83,3607,3654,1,1.0
factual,84,245,2920,0,0.0
factual,84,245,2920,1,0.0
factual,85,3820,4806,0,0.0
factual,85,3820,4806,1,0.0
factual,86,3389,3921,0,1.0
factual,86,3389,3921,1,1.0
factual,87,3131,4567,0,0.0
factual,87,3131,4567,1,0.0
factual,88,1098,2921,0,1.0
factual,88,1098,2921,1,1.0
factual,89,3041,3828,0,0.0
factual,89,3041,3828,1,0.0
factual,90,2179,3053,0,0.0
factual,90,2179,3053,1,0.0
factual,91,3887,512,0,1.0
factual,91,3887,512,1,1.0
factual,92,3815,4349,0,1.0
factual,92,3815,4349,1,1.0
factual,93,1000,4676,0,1.0
factual,93,1000,4676,1,0.0
factual,94,2031,3148,0,1.0
factual,94,2031,3148,1,1.0
factual,95,1352,222,0,1.0
factual,95,1352,222,1,1.0
factual,96,3953,2797,0,1.0
factual,96,3953,2797,1,1.0
factual,97,4852,1029,0,1.0
factual,97,4852,1029,1,1.0
